itemCode,itemDescription,averageCost,supplier,assortmentType
01110030000029,Asian Sandwich,25.892900,Breadtalk Philippines. Inc.,Out of assortment
01110030000053,Kani Salad,25.071400,QBites Inc.,In assortment
01110030000054,Leche Flan,25.071400,QBites Inc.,In assortment
01110030000142,Halloween Spooky Crawly Donut,12.000000,The Doughnut People Inc.,Out of assortment
01110030000143,Halloween Mister Boo Donut,12.000000,The Doughnut People Inc.,Out of assortment
01110030000144,Halloween Ding Bat Donut,12.000000,The Doughnut People Inc.,Out of assortment
01110030000409,Breadtalk Red Xmas Log Cake,177.678500,Breadtalk Philippines. Inc.,Out of assortment
01110030000410,Breadtalk Green Xmas Log Cake,177.678500,Breadtalk Philippines. Inc.,Out of assortment
01110030000411,Xmas Cookies Xmas Tree,9.375000,The Doughnut People Inc.,Out of assortment
01110030000412,Xmas Cookies Candy Cane,9.375000,The Doughnut People Inc.,Out of assortment
01110030000413,Xmas Cookies Gingerbread,9.375000,The Doughnut People Inc.,Out of assortment
01110030000414,Chocolate Xmas Bark,41.071400,The Doughnut People Inc.,Out of assortment
01110030000415,Mini Sugar Twist,22.321400,The Doughnut People Inc.,Out of assortment
01110030000416,Cheese Puff Pastry Twist,40.178500,The Doughnut People Inc.,Out of assortment
01110030000417,Red and Green Puff Pastry Twist,31.250000,The Doughnut People Inc.,Out of assortment
01110030000418,Creme Puff,48.214200,Beatrice Kitchen Inc.,Out of assortment
01110030000419,Fiesta Ham Sandwich,46.205300,Beatrice Kitchen Inc.,In assortment
01110030000426,Chocolate Cake Mallows,10.714200,The Doughnut People Inc.,Out of assortment
01110030000427,White Cake Xmas Drizzle (Red),10.714200,The Doughnut People Inc.,Out of assortment
01110030000428,Double Chocolate Cake,10.714200,The Doughnut People Inc.,Out of assortment
01110030000429,White Cake Wreath (Green),10.714200,The Doughnut People Inc.,Out of assortment
01110030000486,BT Green Xmas Cake Slice,40.180000,LAWSON,Out of assortment
01110030000487,BT Red Xmas Cake Slice,40.180000,LAWSON,Out of assortment
01110030000490,Pasta Salad,46.430000,Beatrice Kitchen Inc.,Out of assortment
01110030000491,Banana Roll,24.780000,Beatrice Kitchen Inc.,Out of assortment
01110030000504,Chocolate Cake with Rainbow Sprinkles,10.714200,The Doughnut People Inc.,Out of assortment
01110030000505,Chocolate Cake with White Sprinkles,10.714200,The Doughnut People Inc.,Out of assortment
01110030000506,Chocolate Cake with Candy Coated,10.714200,The Doughnut People Inc.,Out of assortment
01110030000507,White Cake with Rainbow Sprinkles,10.714200,The Doughnut People Inc.,Out of assortment
01110030000508,White Cake with Chocolate Sprinkles,10.714200,The Doughnut People Inc.,Out of assortment
01110030000509,White Cake with Mini Mallows,10.714200,The Doughnut People Inc.,Out of assortment
01110030000546,Tokyo-Style Banana Cake,26.785700,EST Dimsum Inc.,In assortment
01110030000547,Pork Steak,43.611605,LAWSON,Out of assortment
01110030000548,Beef Caldereta,43.611600,LAWSON,Out of assortment
01110030000582,Triple Delights Cake,10.714300,The Doughnut People Inc.,Out of assortment
01110030000583,Red Heart Cake,10.714300,The Doughnut People Inc.,Out of assortment
01110030000584,Rainbow Love Cake,10.714300,The Doughnut People Inc.,Out of assortment
01110030000585,Red Velvet Cake,27.392900,Beatrice Kitchen Inc.,In assortment
01110030000586,Double Chocolate Mousse,24.107100,Beatrice Kitchen Inc.,Out of assortment
01110030000587,Chocolate Brownie w/ Strawberries,30.357100,Beatrice Kitchen Inc.,Out of assortment
01110030000622,Oriental Chicken Pasta,41.651800,Beatrice Kitchen Inc.,Out of assortment
01110030000623,Caesar Salad,53.571400,Gourmet's Farms, Inc,In assortment
01110030000624,Oriental Salad,51.785700,Gourmet's Farms, Inc,In assortment
01110030000625,Sicilian Salad,51.785700,Gourmet's Farms, Inc,In assortment
01110030000626,Chicken Mexican Wrap,62.500000,Gourmet's Farms, Inc,In assortment
