itemDescription,averageCost
Asian Sandwich,25.892900
Halal Chicken Curry Rice Meal,37.500000
Halal Honey Glazed Chicken Rice Meal,37.500000
Halal Korean Beef Stew Rice Meal,40.178600
Halal Beef Pastel Rice Meal,40.178600
Halal Pasta Marinara,33.928600
Kani Salad,25.071400
Leche Flan,25.071400
Halloween Spooky Crawly Donut,12.000000
Halloween Mister Boo Donut,12.000000
Halloween Ding Bat Donut,12.000000
Merienda w/o Drink,35.000000
Merienda w/ Cucumber,39.965200
Merienda w/ Blue Lemonade,39.965200
Merienda w/ Dalandan,40.136800
Merienda w/ Lemonade,40.136800
Breadtalk Red Xmas Log Cake,177.678500
Breadtalk Green Xmas Log Cake,177.678500
Xmas Cookies Xmas Tree,9.375000
Xmas Cookies Candy Cane,9.375000
Xmas Cookies Gingerbread,9.375000
Chocolate Xmas Bark,41.071400
Mini Sugar Twist,22.321400
Cheese Puff Pastry Twist,40.178500
Red and Green Puff Pastry Twist,31.250000
Creme Puff,48.214200
Fiesta Ham Sandwich,46.205300
Chocolate Cake Mallows,10.714200
White Cake Xmas Drizzle (Red),10.714200
Double Chocolate Cake,10.714200
White Cake Wreath (Green),10.714200
BT Green Xmas Cake Slice,40.180000
BT Red Xmas Cake Slice,40.180000
Pasta Salad,46.430000
Banana Roll,24.780000
Chocolate Cake with Rainbow Sprinkles,10.714200
Chocolate Cake with White Sprinkles,10.714200
Chocolate Cake with Candy Coated,10.714200
White Cake with Rainbow Sprinkles,10.714200
White Cake with Chocolate Sprinkles,10.714200
White Cake with Mini Mallows,10.714200
Chocolate Cake Heart,10.714200
White Cake Heart,10.714200
Tokyo-Style Banana Cake,26.785700
Pork Steak,44.240000
Beef Caldereta,43.611600
Triple Delights Cake,10.714300
Red Heart Cake,10.714300
Rainbow Love Cake,10.714300
Red Velvet Cake,27.392900
Double Chocolate Mousse,24.107100
Chocolate Brownie w/ Strawberries,30.357100
Oriental Chicken Pasta,41.651800
Caesar Salad,53.571400
Oriental Salad,51.785700
Sicilian Salad,51.785700
Chicken Mexican Wrap,62.500000
Asian Sandwich New,25.267900
Chori Burger Meal w/ Hotdog,46.493778
Chicken Tocino Meal w/ Hotdog,50.971500
Cannelloni Pasta,37.026800
3- Cheese Alfredo Pasta,35.169600
Creamy Pesto Pasta,34.250000
Matcha Green Tea,27.392900
Coffee Butterscotch,27.392900
Tuna Wrap,62.500000
Chicken Macaroni,53.571400
Russian Salad,53.571400
Pasta Green Salad,53.571400
Potato Salad,53.571700
MD Classic Bavarian,13.348200
MD Choco Bavarian,13.348200
MD Strawberry Filled Bavarian,13.348200
MD Classic Bavarian+Choco Fudge Doubles,-1.000000
XX-MD Choco Butternut,13.348200
XX-MD Dutch Choco Crunch,12.767900
XX-MD Choco Peanut,12.767900
MD Premium Twist Coockies & Cream,14.508900
MD Premium Twist Rocky Road,14.508900
MD White Choco Graham,20.089300
MD Choco Caramel Peanut,-1.000000
MD Smidgets Bavarian,4.062500
MD Smidgets Choco Butternut,5.223200
MD Salted Choco Caramel,17.410700
Spam & Cheese Sandwich,41.187500
Spam Turkey Sandwich,39.732100
Spam Teriyaki Sandwich,37.946400
Coffee Jelly,25.000000
Tokyo-Style Caramel Cake,25.892900
X-Cheesed Dog with Discount,25.267900
X-Sweet Apple with Discount,25.267900
X-Cheesed Dog with Discount,26.774525
X-Sweet Apple with Discount,25.267900
XX-Ham & Veggie Baked Sandwich with Discount,25.267800
X-Peppered Ham and Cheese with Discount,25.267900
XX-Baked Bacon & Corn Sandwich with Discount,32.142900
XX-Cocktail Bun with Discount,25.267900
XX-Mini Cheese Ball with Discount,25.267900
X-Pizza Boat with Discount,25.267900
X-Mini Loaf Toast with Discount,25.892800
XX-Chocolate Dozo with Discount,25.267800
XX-Salted Caramel Parmesan with Discount,25.267800
XX-Almond Donut with Discount,25.267800
BT Ham & Pineapple Pandesal,20.535700
BT Ham & Egg Pandesal,19.910700
BT Cheese & Egg Pandesal,19.910700
X-Cheesy Ensaymada,25.267800
MD Cake Creamy Coffee,10.714300
MD Cake Buko Pandan,10.714300
MD Cake Ube Langka,10.714300
MD Cake Ube,10.714300
Fiesta Ham Pineapple Glaze,42.857100
Fiesta Ham Sundried  Tomato Pesto & Cheese,42.857100
Choco Banana Mousse,20.267900
Peach Graham,20.267900
Chicken Gyro Wheat Wrap,62.500000
Assorted in Lettuce Wraps,62.500000
Triangle Fiesta Ham Pineapple Glaze,30.133900
Triangle Fiesta Ham with Cheese,30.133900
MD Brownie Classic Fudge,13.392800
XX-MD Brownie Choco Mallows,6.696400
MD Brownie White Choco Drizzle,10.044600
Cheeseburger Deluxe,25.330300
Braised Beef w/ Unlimited Rice,37.356900
Korean Pork Strips w/ Unlimited Rice,33.892600
Spanish Kaldereta w/ Unlimited Rice,40.811700
MD Strawberry Fruit,16.741000
MD Strawberry Twist,16.741000
MD Bavarian Creamy Coffee,-1.000000
MD Bavarian Brewed Coffee,-1.000000
MD Swirl Classic,-1.000000
MD Creamy Ube Sprinkles,-1.000000
MD Ube-Keso Twist,-1.000000
MD Ube Smidgets,4.017900
MD Ube Cream Bavarian,10.714300
Ham & Cheese Sandwich (INACTIVE),21.982100
Chicken Teriyaki Sandwich Q,25.232100
Creamy Pesto Pasta (Q),25.723200
X-Cheese Mamon BT,25.267800
MD Buttered Toast,8.035700
Creamy Tuna Pasta,33.928500
Chicken Cheese Burger,31.571400
Pork Mechado P59,32.082600
Chicken Asado P59,32.060400
Beef Picadillo P59,28.275000
Chili Con Carne P59,28.052700
Chicken Adobo P59,33.044400
Fiesta Menudo P59,33.044400
Salisbury Steak P59,32.558200
Pork Steak P69,33.360700
Chicken Afritada P69,33.630700
MD Creamy Glazed Chocolate,12.767800
MD Creamy Glazed Vanilla,12.767800
MD Creamy Glazed Mocha,12.767800
