itemDescription,averageCost
Kani Salad,25.071400
Leche Flan,25.071400
Merienda w/o Drink,35.000000
Merienda w/ Cucumber,39.965200
Merienda w/ Blue Lemonade,39.965200
Merienda w/ Dalandan,40.136800
Merienda w/ Lemonade,40.136800
Fiesta Ham Sandwich,46.205300
Chocolate Cake with Rainbow Sprinkles,10.714200
Chocolate Cake with White Sprinkles,10.714200
Chocolate Cake with Candy Coated,10.714200
White Cake with Rainbow Sprinkles,10.714200
White Cake with Chocolate Sprinkles,10.714200
White Cake with Mini Mallows,10.714200
Chocolate Cake Heart,10.714200
White Cake Heart,10.714200
Tokyo-Style Banana Cake,26.785700
Pork Steak,44.240000
Beef Caldereta,43.611600
Triple Delights Cake,10.714300
Red Heart Cake,10.714300
Rainbow Love Cake,10.714300
Red Velvet Cake,27.392900
Double Chocolate Mousse,24.107100
Chocolate Brownie w/ Strawberries,30.357100
Oriental Chicken Pasta,41.651800
Caesar Salad,53.571400
Oriental Salad,51.785700
Sicilian Salad,51.785700
Chicken Mexican Wrap,62.500000
Asian Sandwich New,25.267900
Chori Burger Meal w/ Hotdog,46.609527
Chicken Tocino Meal w/ Hotdog,51.248520
Cannelloni Pasta,37.026800
3- Cheese Alfredo Pasta,35.169600
Creamy Pesto Pasta,34.250000
Tuna Wrap,62.500000
Chicken Macaroni,53.571400
Russian Salad,53.571400
Pasta Green Salad,53.571400
Potato Salad,53.571700
MD Classic Bavarian,13.348200
MD Choco Bavarian,13.348200
MD Strawberry Filled Bavarian,13.348200
MD Classic Bavarian+Choco Fudge Doubles,-1.000000
XX-MD Choco Butternut,13.348200
XX-MD Dutch Choco Crunch,12.767900
XX-MD Choco Peanut,12.767900
MD White Choco Graham,20.089300
MD Smidgets Bavarian,-1.000000
MD Smidgets Choco Butternut,5.223200
MD Salted Choco Caramel,17.410700
Spam & Cheese Sandwich,41.187500
Spam Turkey Sandwich,39.732100
Spam Teriyaki Sandwich,37.946400
Coffee Jelly,25.000000
XX-Ham & Veggie Baked Sandwich with Discount,-1.000000
XX-Baked Bacon & Corn Sandwich with Discount,29.464300
XX-Chocolate Dozo with Discount,-1.000000
XX-Salted Caramel Parmesan with Discount,-1.000000
XX-Almond Donut with Discount,-1.000000
BT Ham & Pineapple Pandesal,20.535700
BT Ham & Egg Pandesal,20.535700
BT Cheese & Egg Pandesal,20.535700
X-Cheesy Ensaymada,32.142800
MD Cake Red Velvet,10.714300
MD Cake Creamy Coffee,10.714300
MD Cake Buko Pandan,10.714300
MD Cake Ube Langka,10.714300
MD Cake Ube,10.714300
Fiesta Ham Pineapple Glaze,42.857100
Fiesta Ham Sundried  Tomato Pesto & Cheese,42.857100
Choco Banana Mousse,20.267900
Peach Graham,20.267900
Chicken Gyro Wheat Wrap,62.500000
Assorted in Lettuce Wraps,62.500000
Triangle Fiesta Ham Pineapple Glaze,30.133900
Triangle Fiesta Ham with Cheese,30.133900
MD Brownie Classic Fudge,13.392800
XX-MD Brownie Choco Mallows,6.696400
MD Brownie White Choco Drizzle,10.044600
Cheeseburger Deluxe,25.330300
