itemCode,itemDescription,averageCost,supplier,assortmentType
01110030000053,Kani Salad,25.071400,QBites Inc.,In assortment
01110030000054,Leche Flan,25.071400,QBites Inc.,In assortment
01110030000419,Fiesta Ham Sandwich,46.205300,Beatrice Kitchen Inc.,Out of assortment
01110030000426,Chocolate Cake Mallows,10.714200,The Doughnut People Inc.,Out of assortment
01110030000490,Pasta Salad,46.430000,Beatrice Kitchen Inc.,Out of assortment
01110030000504,Chocolate Cake with Rainbow Sprinkles,10.714200,The Doughnut People Inc.,Out of assortment
01110030000505,Chocolate Cake with White Sprinkles,10.714200,The Doughnut People Inc.,Out of assortment
01110030000506,Chocolate Cake with Candy Coated,10.714200,The Doughnut People Inc.,Out of assortment
01110030000507,White Cake with Rainbow Sprinkles,10.714200,The Doughnut People Inc.,Out of assortment
01110030000508,White Cake with Chocolate Sprinkles,10.714200,The Doughnut People Inc.,Out of assortment
01110030000509,White Cake with Mini Mallows,10.714200,The Doughnut People Inc.,Out of assortment
01110030000546,Tokyo-Style Banana Cake,26.785700,EST Dimsum Inc.,Out of assortment
01110030000547,Pork Steak,44.240000,LAWSON,Out of assortment
01110030000548,Beef Caldereta,43.611600,LAWSON,Out of assortment
01110030000585,Red Velvet Cake,27.392900,Beatrice Kitchen Inc.,Out of assortment
01110030000622,Oriental Chicken Pasta,41.651800,Beatrice Kitchen Inc.,In assortment
01110030000623,Caesar Salad,53.571400,Gourmet's Farms, Inc,In assortment
01110030000624,Oriental Salad,51.785700,Gourmet's Farms, Inc,In assortment
01110030000625,Sicilian Salad,51.785700,Gourmet's Farms, Inc,In assortment
01110030000626,Chicken Mexican Wrap,62.500000,Gourmet's Farms, Inc,In assortment
01110030000754,Cannelloni Pasta,37.026800,Beatrice Kitchen Inc.,Out of assortment
01110030000755,3- Cheese Alfredo Pasta,35.169600,Beatrice Kitchen Inc.,Out of assortment
01110030000756,Creamy Pesto Pasta,34.250000,Beatrice Kitchen Inc.,In assortment
